COM,PCOM,FREQ
1,3,5
14,41,36
5,49,675
91,685,15
52,320,24
6,49,1
26,69,347
26,75,1
101,588,19
2,12,1
6,75,97
15,516,12
7,3,1
8,46,121
23,12,2
102,126,9
8,318,1
12,3,3118
1,12,1
34,2,2
6,318,110
76,640,17
42,338,7
8,24,56
11,12,111
82,186,25
25,59,1
54,127,45
2,3,1
13,49,1
77,187,32
18,12,14
34,49,4
25,3,1
10,49,4
19,3,3
7,45,4
11,3,283
9,59,1
12,379,35
92,13,46
7,58,3
20,12,3
43,253,56
28,2,2
36,71,88
1,58,2
34,75,3
8,75,39
18,3,28
6,2,1
2,45,2
28,49,2
17,24,45
48,3,1
23,3,3
20,3,25
5,2,752
24,60,91
16,69,2
12,12,10
16,75,3
4,75,1610
103,207,21
5,68,27
8,61,147
25,11,1311
23,11,7
10,61,281
11,18,267
28,8,1
10,26,21
8,47,1
16,15,1
18,18,3
5,645,26
6,26,638
16,26,1
2,33,62
34,26,2
87,214,20
108,134,26
9,11,8
17,68,177
1,11,95
1,115,1
13,68,159
8,110,293
50,583,21
23,18,50
25,25,1
6,77,35
1,18,1
13,26,2
8,88,94
1,25,1
0,11,72
6,47,1
30,367,8
8,82,423
12,18,6
7,18,4
26,26,1
5,8,85
34,68,2
20,37,1
7,11,133
26,123,46
7,115,334
5,26,6
17,61,2
6,8,77
8,64,156
26,42,1
8,8,8
6,14,9
23,19,24
64,221,46
26,14,1
1,104,105
5,14,28
11,182,1
58,547,23
13,6,1
11,6,18
93,309,18
69,22,2
7,14,9
25,19,4
4,10,492
86,648,4
19,19,465
34,19,2
2,305,40
4,7,5
2,14,3
6,19,6
10,19,4
1,10,8
5,5,5
61,169,9
17,14,10
0,188,49
11,9,1
9,19,7
22,216,29
19,14,2
5,103,246
12,6,34
34,14,1
57,224,12
66,29,50
18,14,1
26,103,1
90,299,23
1,7,5
10,14,180
16,19,40
17,19,1
12,7,6
7,103,6
12,182,46
6,255,69
23,14,6
6,5,1
1,6,24
5,19,120
26,19,2
12,9,13
109,675,3
6,314,23
7,19,34
16,14,30
13,7,1
17,103,1
106,380,17
27,47,2
69,47,2
70,489,15
13,37,1
39,448,4
25,35,10
34,85,558
34,32,2
4,25,423
12,82,2
38,31,418
16,322,7
23,156,35
7,97,1
32,391,53
1,26,4
4,11,3
0,43,1
11,26,11
12,8,1
20,26,613
0,35,4
5,85,6
23,97,112
5,32,4
26,32,2
7,43,5
6,85,12
79,124,21
3,174,144
13,18,197
1,8,66
16,538,9
94,333,46
1,15,35
12,26,35
11,82,1
41,546,30
56,57,75
7,35,2
17,85,3
44,249,114
2,24,1
107,478,12
1,75,532
23,2,2
1,49,2
2,2,9
26,3,2
8,106,269
6,3,16
12,49,1
7,49,14
7,75,21
5,12,6
16,59,1
12,69,2
13,3,8
96,560,5
4,58,260
40,3,1
2,75,5
6,12,11
80,544,19
112,421,79
34,12,1
2,49,37
51,287,30
11,2,3
8,12,1
5,3,10
1,2,8
20,2,63
19,49,7
10,12,1371
17,3,21
12,533,8
20,24,214
6,45,1
26,45,683
13,12,31
11,49,3
18,49,4
20,49,2
25,75,1
49,204,8
34,3,13
8,3,2
29,59,276
2,342,42
10,3,103
17,12,40
4,59,2
35,621,5
23,49,400
95,125,58
9,49,6
12,2,3
7,2,58
28,3,2
9,75,1
75,350,15
16,111,169
0,75,36
0,49,2
10,59,4
73,140,8
16,3,3
7,63,1
1,256,1
16,43,1236
11,32,1
11,85,1
10,35,1
4,43,2
40,158,144
5,97,3
31,32,1
23,32,10
26,43,2
23,85,19
85,382,67
8,35,1
71,406,22
55,264,24
27,256,775
78,582,16
62,579,3
12,85,10
7,85,5
16,35,621
12,32,1
7,32,7
25,63,89
68,242,13
65,1,41
10,97,1
19,85,52
74,72,50
45,183,192
2,32,832
21,276,13
69,81,266
6,43,2
33,425,3
4,19,4
9,10,21
16,6,15
18,7,488
53,0,33
11,103,4
83,48,34
23,9,1
0,6,14
26,104,1
6,104,30
18,9,1
12,14,124
25,10,62
8,182,31
28,5,364
7,104,1
8,10,83
11,19,3
20,19,1
9,7,1
48,373,14
1,19,529
25,6,3
6,10,2
16,7,1
2,104,209
25,7,7
12,50,11
26,6,2
0,7,2
8,22,9
13,14,4
11,14,1673
7,6,1036
5,7,48
20,14,27
28,19,197
23,6,3
100,52,48
97,95,27
2,6,2
7,7,100
5,6,9
16,22,654
16,10,3
13,19,18
46,548,12
104,480,27
12,255,1
19,6,124
27,277,34
25,250,47
5,9,239
34,6,9
18,6,2
12,19,12
16,104,50
19,7,2
63,143,322
0,15,1109
10,18,1
2,26,2
25,47,4
110,495,21
19,26,1
2,47,5
7,42,525
16,25,1
12,120,38
27,35,1
23,110,7
19,42,2
28,85,1
1,35,1
9,47,874
18,26,1
81,330,30
17,37,434
23,47,4
2,82,1
7,15,7
47,211,31
7,8,2
9,31,1
59,44,52
72,40,80
2,8,1325
6,18,3
10,37,64
37,245,106
99,443,16
105,361,7
11,97,1
98,300,15
25,42,6
7,47,4
60,407,12
31,74,160
5,11,2
0,42,30
5,18,1
