PCOM,orgid,FREQ
35,70,11
367,70,2
43,30,3
68,46,10
2,83,20
85,24,1
26,49,27
10,79,1
32,46,1
14,4,5
49,49,1
14,23,1
18,58,1
75,59,6
44,36,33
309,59,18
174,59,144
10,2,1
63,70,1
11,55,1
26,30,7
10,24,2
188,70,1
49,30,8
58,60,2
19,70,7
3,60,2
58,49,1
547,70,23
32,24,1
35,4,6
582,71,1
15,30,2
421,70,78
22,46,1
33,83,30
18,70,1
3,30,8
85,30,31
645,30,4
14,55,4
48,59,7
14,59,11
11,70,149
35,16,1
187,16,1
82,4,1
322,4,6
58,24,11
7,55,2
10,49,46
169,36,8
32,30,1
43,46,1
35,59,21
12,4,1
49,46,1
12,41,6
544,59,1
42,70,442
276,36,13
115,59,28
75,70,38
103,55,2
68,30,4
22,30,2
49,24,1
182,4,26
182,16,7
19,59,40
45,55,3
2,55,1
14,70,2
19,55,5
7,70,9
3,71,1
314,83,3
3,24,2
42,27,1
211,54,13
43,28,1
59,27,1
75,27,1032
85,26,1
8,51,11
8,77,3
10,61,5
104,42,1
68,51,1
14,100,1
31,17,112
32,54,1
10,31,1
74,42,1
24,31,1
3,42,3
330,28,30
14,57,1
6,88,1
26,28,446
85,42,4
255,28,70
15,8,53
47,28,1
15,82,1
3,53,2
277,54,33
407,61,12
8,54,6
10,54,224
31,96,34
15,56,2
48,96,27
3,88,1
15,68,7
7,27,4
32,53,1
75,100,1
3,28,23
22,31,173
187,96,31
47,8,47
6,42,363
85,28,2
31,100,44
115,96,95
3,56,1
26,51,22
3,8,1
6,77,12
6,51,20
127,27,44
49,51,263
74,15,101
14,38,1
125,61,58
106,100,2
5,51,211
15,42,17
72,68,46
52,17,40
204,99,1
82,18,3
320,64,1
19,27,1
8,88,217
8,28,26
10,28,23
478,88,12
300,99,15
169,26,1
489,31,15
548,31,11
24,88,271
3,77,4
3,51,2
12,96,32
12,57,44
7,57,53
85,77,1
85,51,6
11,27,2
3,61,1
49,54,7
32,15,37
47,31,2
104,28,30
47,54,662
318,28,107
287,26,28
13,90,4
68,42,1
43,54,33
32,61,1
40,61,14
77,51,1
32,51,2
8,15,384
1,17,33
143,54,322
61,61,193
49,42,50
42,89,4
14,7,6
49,48,15
75,52,17
115,91,26
214,0,1
11,6,2
104,94,1
11,52,581
52,10,8
544,98,18
3,91,3
12,48,5
5,98,8
3,98,2964
382,91,67
19,80,1
106,91,47
9,98,10
3,14,1
103,98,1
58,78,1
2,19,1
3,78,2
2,66,9
182,98,1
8,80,54
126,73,9
140,52,8
8,66,30
77,98,33
88,10,19
6,19,1
45,98,8
367,98,6
2,98,65
207,98,12
32,10,9
19,98,19
443,10,12
42,52,4
8,98,6
18,98,37
256,52,774
14,52,3
45,66,1
3,86,1
49,52,3
6,98,14
47,52,1
60,98,42
338,73,6
361,66,1
6,91,24
3,50,1
40,10,66
15,98,3
75,94,2
13,94,42
14,48,12
8,91,37
287,0,2
15,91,50
104,52,20
104,6,17
379,7,34
35,52,2
12,7,506
588,5,1
37,98,76
29,10,50
43,98,1
253,52,56
103,66,1
127,91,1
71,10,70
26,80,1
85,7,1
49,22,1
31,94,3
277,52,1
82,98,1
43,19,2
204,22,7
26,98,693
7,80,1
50,48,11
26,91,1
14,10,3
61,7,234
35,31,34
9,35,242
57,17,75
123,43,46
516,27,9
75,64,4
14,77,4
82,1,220
14,51,4
186,51,3
45,87,2
43,62,1
7,21,7
221,51,46
2,35,744
68,11,8
75,28,77
75,88,30
59,87,268
19,35,363
103,74,63
68,57,2
106,1,19
77,84,1
318,27,1
8,85,540
85,33,1
59,1,1
18,39,2
11,54,489
12,88,2
71,8,18
42,51,2
11,44,2
45,74,8
58,63,61
2,74,5
111,27,121
12,28,1
19,74,3
19,1,5
41,68,22
406,61,22
120,65,38
18,74,36
548,63,1
19,92,11
106,39,2
10,63,220
110,1,1
11,31,2
75,51,4
45,35,1
18,35,407
59,35,4
14,53,2
391,51,1
25,87,2
32,17,1
26,85,29
12,51,2
6,85,1
69,88,1
37,35,6
